health_region_code,name,uf,capacity,legacy_suicide_asmr,corrected_suicide_asmr,delta_suicide_asmr,legacy_suicide_percentile,corrected_suicide_percentile,delta_suicide_percentile,legacy_need,corrected_need,delta_need,legacy_mismatch,corrected_mismatch,delta_mismatch,legacy_lisa,corrected_lisa,legacy_radar_families,corrected_radar_families,flags
21007,Codó,MA,0.3409436834094368,5.612416212380562,5.651095576006701,0.03867936362613911,0.1575342465753424,0.15753424657534246,5.551115123125783e-17,0.3493150684931507,0.3493150684931507,0.0,0.0083713850837138,0.008371385083713878,7.806255641895632e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
21008,Imperatriz,MA,0.3310502283105023,7.318425633867847,7.443348894557427,0.12492326068958004,0.3310502283105023,0.3333333333333333,0.0022831050228310223,0.2020547945205479,0.20319634703196346,0.0011415525114155667,-0.1289954337899543,-0.12785388127853883,0.0011415525114154557,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
21009,Itapecuru Mirim,MA,0.2716894977168949,4.389442256742361,4.390978024013675,0.0015357672713136594,0.0525114155251141,0.0502283105022831,-0.0022831050228309946,0.2671232876712329,0.2659817351598174,-0.0011415525114155112,-0.004566210045662,-0.0057077625570775,-0.0011415525114155008,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21010,Pedreiras,MA,0.4094368340943683,4.643540479368413,4.645165149901506,0.0016246705330926758,0.0707762557077625,0.0684931506849315,-0.0022831050228309946,0.2420091324200913,0.2408675799086758,-0.0011415525114155112,-0.167427701674277,-0.16856925418569252,-0.0011415525114155112,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21011,Pinheiro,MA,0.3972602739726027,3.3849470282048832,3.5671687089716064,0.18222168076672318,0.0159817351598173,0.02054794520547945,0.004566210045662152,0.1712328767123287,0.1735159817351598,0.0022831050228311056,-0.2260273972602739,-0.2237442922374429,0.0022831050228309946,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21012,Presidente Dutra,MA,0.4421613394216133,6.791508379880064,6.866990395303638,0.07548201542357447,0.271689497716895,0.273972602739726,0.0022831050228310223,0.3333333333333333,0.3344748858447488,0.0011415525114155112,-0.1088280060882799,-0.10768645357686446,0.0011415525114154418,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21013,Rosário,MA,0.3698630136986301,4.055727214847116,4.057146222719557,0.0014190078724407584,0.0410958904109589,0.0410958904109589,0.0,0.2728310502283105,0.27283105022831056,5.551115123125783e-17,-0.0970319634703195,-0.09703196347031956,-5.551115123125783e-17,not_significant,not_significant,,,ZERO_REGISTERED_BEDS
21014,Santa Inês,MA,0.1605783866057838,4.790958052668136,4.874226537508344,0.08326848484020744,0.0867579908675799,0.08447488584474885,-0.00228310502283105,0.3184931506849315,0.317351598173516,-0.0011415525114155112,0.1579147640791477,0.1567732115677322,-0.0011415525114155112,not_significant,not_significant,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,CAPACITY_LOW;CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21015,São João dos Patos,MA,0.4649923896499239,9.33668284237024,9.4807726247393,0.14408978236905945,0.5844748858447488,0.591324200913242,0.006849315068493178,0.3984018264840182,0.4018264840182648,0.0034246575342466445,-0.0665905631659056,-0.06316590563165908,0.0034246575342465196,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
21016,São Luís,MA,0.3211567732115677,4.762115744905808,4.840860326580365,0.07874458167455689,0.0821917808219178,0.07990867579908675,-0.00228310502283105,0.5205479452054794,0.5194063926940639,-0.0011415525114155667,0.1993911719939117,0.19824961948249614,-0.0011415525114155667,not_significant,not_significant,CAPACITY_COMPONENT_LOW,CAPACITY_COMPONENT_LOW,ZERO_REGISTERED_BEDS
