health_region_code,legacy_reconstructed,canonical,diagnostic_80_plus,absolute_difference
29026,4.79514162709443,4.795141627094429,4.930320551100619,0.13517892400619047
29027,6.011736889427098,6.011736889427098,6.255391134104157,0.24365424467705843
29028,6.277956390342397,6.277956390342397,6.328569680944616,0.050613290602218974
31001,14.19760359058421,14.19760359058421,14.40521393945011,0.20761034886590046
31002,9.521336679101504,9.521336679101502,9.521336679101504,1.7763568394002505e-15
31003,10.931329481278274,10.931329481278272,11.157423578359278,0.22609409708100614
31004,12.108333944051964,12.108333944051964,12.108333944051964,0.0
31006,10.259403599777505,10.259403599777508,10.434659523464338,0.17525592368683007
31007,9.22811573691184,9.22811573691184,9.297284594584982,0.06916885767314085
31008,11.751522277527698,11.751522277527698,11.943646186074975,0.192123908547277
31009,10.719704210610304,10.719704210610304,10.859689561586316,0.13998535097601206
31010,12.910688426065134,12.910688426065134,13.113579042058252,0.20289061599311786
31011,10.769823504521728,10.769823504521728,10.769823504521728,0.0
31012,11.510218585184262,11.510218585184262,11.616398462363714,0.10617987717945176
31013,11.8782646068603,11.8782646068603,11.980890500188067,0.10262589332776706
31015,10.77933137048209,10.779331370482089,10.81292383087396,0.033592460391870915
31016,5.3295311793456746,5.3295311793456746,5.36837389446432,0.03884271511864501
31017,7.221551707911203,7.221551707911204,7.27543463798098,0.053882930069775625
31018,3.204243576363737,3.2042435763637367,3.2662749843101473,0.0620314079464106
31019,11.420086673706521,11.420086673706525,11.518294969636013,0.09820829592948854
31020,6.887658012555612,6.887658012555612,6.887658012555612,0.0
31021,8.836279105462848,8.83627910546285,8.872102076467147,0.03582297100429699
31022,7.661293834501459,7.661293834501459,7.661293834501459,0.0
31023,6.804179532616556,6.804179532616556,6.854181872278271,0.050002339661714856
31024,8.895431239717317,8.895431239717317,8.981994395841769,0.08656315612445198
31025,5.236166626540666,5.236166626540666,5.30324721246095,0.06708058592028365
31026,7.923412875992232,7.923412875992232,8.1115027289058,0.18808985291356706
31027,11.983919695277908,11.983919695277908,12.069482804296484,0.085563109018576
31028,8.286254059338265,8.286254059338267,8.439485306781824,0.1532312474435571
31030,10.13496571201399,10.13496571201399,10.445382667787072,0.31041695577308204
31031,9.709504446650008,9.709504446650008,9.709504446650008,0.0
31032,10.412407563945905,10.412407563945903,10.583572766574466,0.17116520262856305
31034,7.1823660027805944,7.1823660027805944,7.256803862369272,0.07443785958867721
31035,9.02233837250118,9.022338372501178,9.059008945842749,0.036670573341570645
31036,7.570302921346838,7.570302921346838,7.612180086921419,0.0418771655745811
31037,7.346276732934191,7.346276732934191,7.555590371171557,0.20931363823736593
31038,8.893646390960486,8.893646390960486,8.893646390960486,0.0
31040,6.877178646147486,6.877178646147486,6.877178646147486,0.0
31041,6.091427973123688,6.091427973123688,6.091427973123688,0.0
31042,5.797382016879229,5.79738201687923,5.797382016879229,8.881784197001252e-16
31044,6.4838750691557765,6.483875069155777,6.558255042279184,0.07437997312340627
31045,8.034055960220156,8.034055960220156,8.18349276081359,0.149436800593433
31046,8.846708643506952,8.846708643506954,8.846708643506952,1.7763568394002505e-15
31047,8.185973494645488,8.185973494645488,8.403003704083075,0.21703020943758666
31048,8.87621903248972,8.87621903248972,8.901351589849718,0.02513255735999742
31050,13.161999628784,13.161999628784002,13.161999628784,1.7763568394002505e-15
31051,7.7560443957231,7.7560443957231,7.7560443957231,0.0
31052,9.274506690019674,9.274506690019676,9.340057045225308,0.06555035520563202
31053,11.01840924532926,11.01840924532926,11.01840924532926,0.0
31055,10.318215065560759,10.318215065560755,10.318215065560759,3.552713678800501e-15
31057,14.028515865777809,14.028515865777807,14.190794993549888,0.16227912777208076
31058,10.526965246828775,10.526965246828777,10.569670395959427,0.04270514913065071
31059,6.687608187025298,6.6876081870252975,6.7453479849283315,0.057739797903034074
31060,8.213854584241068,8.213854584241068,8.273131372914849,0.059276788673781056
31061,10.75257034031927,10.75257034031927,10.75257034031927,0.0
31062,3.8025015495839734,3.802501549583974,3.8025015495839734,4.440892098500626e-16
31064,3.2740690827472,3.2740690827472,3.2740690827472,0.0
31065,3.7641901157800843,3.764190115780084,3.7641901157800843,4.440892098500626e-16
31066,1.7766534706377453,1.7766534706377453,1.7766534706377453,0.0
31067,6.474428037984286,6.474428037984285,6.474428037984286,8.881784197001252e-16
31068,7.998115438627124,7.998115438627125,7.998115438627124,8.881784197001252e-16
31070,10.27806972101209,10.278069721012088,10.27806972101209,1.7763568394002505e-15
31071,10.356092548503732,10.356092548503732,10.548809279602454,0.1927167310987219
31072,7.551225484126455,7.551225484126454,7.60344106629652,0.05221558217006628
31073,10.38336445004401,10.38336445004401,10.767372719571448,0.3840082695274383
