health_region_code,need_score,capacity_score,mismatch_score
32002,-0.7676979316760374,-0.6308464836754494,-0.13685144800058802
32003,-0.5198867601182985,-0.32857030859847897,-0.19131645151981952
32004,-0.16921457671544096,-0.29139672253713905,0.12218214582169809
33001,-0.6286686305744795,0.3185066330846668,-0.9471752636591464
33002,-0.9874311305802134,0.062405479120186604,-1.0498366097004
33003,-0.7697383722933895,2.1415351817666437,-2.911273554060033
33004,-0.5558502829623609,0.7989635051437558,-1.3548137881061169
33005,-1.0854942245358559,-0.46325005462931373,-0.6222441699065422
33006,-0.42317753882986375,-0.16062226557106993,-0.2625552732587938
33007,-0.015045978626753553,0.2996611546713562,-0.31470713329810973
33008,-0.6479618212024336,-0.198704470451143,-0.4492573507512906
33009,0.4456019254481073,0.24880927182567522,0.19679265362243206
35011,-0.8391984522613994,-0.5023130063440979,-0.3368854459173015
35012,-0.06683715151690578,0.14405841404405653,-0.2108955655609623
35013,-1.079623973199738,-0.42588724849131765,-0.6537367247084203
35014,-0.8108070243053657,-0.527605121956655,-0.2832019023487107
35015,-0.7467116816807688,0.09664574181994505,-0.8433574235007139
35016,-1.242936459037919,0.1537456513933002,-1.3966821104312193
35021,-0.3781069114049335,-0.4183074570289124,0.0402005456239789
35022,-0.15079243080315274,0.12677126516959492,-0.27756369597274766
35023,-0.10545077946794838,-0.655107842021829,0.5496570625538807
35031,-0.04665333180864531,-0.5954874743965998,0.5488341425879545
35032,-0.44412479138414107,-0.29381670126668263,-0.15030809011745844
35033,0.14885907425873776,0.3339806603704427,-0.18512158611170496
35041,-0.38693121400711933,0.04183039244711902,-0.42876160645423833
35051,-0.15690872620149054,1.006922097134986,-1.1638308233364765
35052,-0.5663551100242272,-0.007590426194121462,-0.5587646838301058
35061,0.4098283676764759,-0.40056877237529465,0.8103971400517705
35062,-0.11897115303751041,-0.3106721891400904,0.19170103610258002
35063,0.48546523115922047,0.7773280850140769,-0.29186285385485644
35064,0.8476952975698973,0.01961540504128918,0.828079892528608
35065,0.7954072191077252,0.2516802043401023,0.5437270147676229
35071,-0.05349233268073029,-0.4556508688260335,0.4021585361453032
35072,-0.4800066343008722,-0.1200367412090182,-0.359969893091854
35073,-0.47117202368343836,-0.23779562278577682,-0.23337640089766154
35074,0.6051739996755778,0.9600136622152401,-0.35483966253966226
35081,0.564260427545548,-0.44179946477506044,1.0060598923206083
35082,0.2432307641322853,0.2161006744987061,0.027130089633579213
35083,0.259282302506266,1.6890734926482243,-1.4297911901419582
35091,2.5675949710702417,0.771797931648421,1.7957970394218208
35092,0.6111204886438085,0.09624890758877808,0.5148715810550304
35093,2.091343645304453,0.16114285266727646,1.9302007926371767
35094,-0.24409009644647253,0.08973768097883901,-0.33382777742531156
35095,1.7606764013976521,-0.06795739245278659,1.8286337938504387
35101,-0.3384497387308961,0.02327986161271362,-0.36172960034360974
35102,-0.27469868109583706,-0.03536000034622133,-0.23933868074961573
35103,-0.4093572115495532,-0.6443728154899034,0.23501560394035026
35104,-0.7021214251247451,-0.10252360176859861,-0.5995978233561464
35111,0.15739365297148045,0.682636958588073,-0.5252433056165926
35112,1.0258817023848898,0.7428374766071445,0.28304422577774535
35113,1.588156421913768,0.8109278398731137,0.7772285820406544
35114,1.4201995596348176,0.21158709356809338,1.2086124660667241
35115,1.946385939089003,0.6422731511906793,1.3041127878983239
35121,-0.36186151244685355,0.054686306767821706,-0.41654781921467526
35131,0.05391801162365704,-0.1119779947301156,0.16589600635377263
35132,0.10104933481106637,0.212152053066368,-0.11110271825530163
35133,0.6373889267028223,-0.2729333651627965,0.9103222918656189
35141,1.0967675837156792,0.26010178183883975,0.8366658018768394
35142,2.4723689431439464,0.22411714942759828,2.248251793716348
35143,3.1887706919087937,0.6001459997047993,2.5886246922039944
35151,0.27003004711496953,0.20193926812354693,0.0680907789914226
35152,0.49843841995729077,0.14408468259545193,0.35435373736183884
35153,0.3695923795625385,-0.5820370298490297,0.9516294094115683
35154,-0.26085410964391276,-0.2687945802296407,0.007940470585727943
35155,0.303970581135019,0.19016844993181548,0.11380213120320354
35156,-0.20544900608605837,-0.261812771556351,0.05636376547029265
35157,0.582326011031137,0.00022238334880438546,0.5821036276823326
35161,-0.28194879386635624,-0.09664463177071836,-0.18530416209563788
35162,0.18753345877004235,-0.29633662756363843,0.4838700863336808
35163,-0.1543499592458355,0.1572923143806049,-0.31164227362644037
35171,-0.10971186065126515,-0.5128348967126497,0.40312303606138455
35172,-0.5512846327354382,-0.2772203003760249,-0.27406433235941324
35173,0.15295273309218912,0.18544986195417676,-0.032497128861987634
35174,-0.8854219624989037,-0.16825598990737123,-0.7171659725915325
41001,0.07436006334562904,-0.577862466104829,0.6522225294504581
41002,-0.10660808157984075,-0.5426082947818844,0.4360002132020437
41003,0.15258904491265377,-0.7366220605518317,0.8892111054644855
41004,0.366780951613602,-0.006840969861305594,0.37362192147490764
41005,0.9505024353921551,-0.49448874100349366,1.4449911763956487
41006,0.620382358652634,-0.7189965473829644,1.3393789060355985
41007,0.6983059097774429,-0.05223375094174073,0.7505396607191837
41008,0.4962262633929137,-0.3459172741038765,0.8421435374967903
