health_region_code,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster
17004,1.1038717463607248,0.0309,0.0922795918367347,True,high-high
17005,0.9458924826244892,0.0004,0.007981818181818182,True,high-high
17006,0.41866597965017927,0.0004,0.007981818181818182,True,high-high
17007,2.1325889265083267,0.0033,0.024977586206896555,True,high-high
17008,1.8407380102036723,0.0076,0.03990909090909091,True,high-high
21001,-0.026954547811502336,0.3128,0.3867091412742382,False,not_significant
21002,-0.08667139418762758,0.1139,0.20662024793388428,False,not_significant
21003,0.5032727682886368,0.0556,0.13265434782608693,False,not_significant
21004,0.0060101151148160455,0.4532,0.4801496385542169,False,not_significant
21005,-0.004569288968309419,0.4838,0.4927800464037123,False,not_significant
21006,0.062281395285434964,0.3468,0.4081640750670242,False,not_significant
21007,0.1915128071934907,0.1935,0.29241864406779666,False,not_significant
21008,-0.0002900150412727404,0.4539,0.4801496385542169,False,not_significant
21009,0.33990028906010905,0.1072,0.1977344537815126,False,not_significant
21010,0.27296534967205005,0.3007,0.3793313218390805,False,not_significant
21011,0.5654495098282913,0.1936,0.29241864406779666,False,not_significant
21012,0.04135685440241398,0.4215,0.4660919395465995,False,not_significant
21013,0.7028687469994356,0.0763,0.1579985849056604,False,not_significant
21014,0.04203887754228778,0.3111,0.3867091412742382,False,not_significant
21015,0.132376092259471,0.1858,0.2881323943661972,False,not_significant
21016,0.7725894271967845,0.0308,0.0922795918367347,True,low-low
21017,0.003770195536545698,0.4944,0.4949,False,not_significant
21018,0.6006105077220466,0.0748,0.15787115384615386,False,not_significant
21019,-0.18667390179537416,0.048,0.12542857142857142,False,not_significant
22001,0.6042356957379557,0.2192,0.31126516129032256,False,not_significant
22002,0.36199664148221783,0.0187,0.07138521739130435,True,high-high
22003,0.17954680432850018,0.3427,0.40551293800539084,False,not_significant
22004,-0.1837448639080247,0.0122,0.05465102040816327,True,low-high
22005,-0.039959992965091104,0.3696,0.42924444444444443,False,not_significant
22006,0.9172691510158657,0.0281,0.08687253521126762,True,high-high
22007,0.4269048014419329,0.0585,0.1368100529100529,False,not_significant
22008,1.9060916644348476,0.0018,0.018376744186046512,True,high-high
22009,1.5625552785361747,0.0488,0.12676449704142012,False,not_significant
22010,0.7385462985512374,0.008,0.03990909090909091,True,high-high
22011,0.8502131122934034,0.0414,0.11288571428571427,False,not_significant
22012,0.8788041102023627,0.0201,0.07232704918032787,True,high-high
23001,-0.10298283343249537,0.4246,0.46716641604010023,False,not_significant
23011,-0.04915089777460035,0.1493,0.25033053435114505,False,not_significant
23023,-0.01873656807929068,0.0329,0.09658,True,low-high
23024,0.08837033245387238,0.1949,0.29241864406779666,False,not_significant
23025,-0.0014452859671500624,0.4928,0.4949,False,not_significant
24001,0.9400677921548908,0.0137,0.059394117647058826,True,low-low
24002,0.03375136515186264,0.1666,0.26692481751824815,False,not_significant
24003,0.3556848233018577,0.263,0.3446477611940299,False,not_significant
24004,-0.23194581143894505,0.2023,0.2970224080267559,False,not_significant
24005,0.44546310339493644,0.0724,0.15623235294117646,False,not_significant
24006,0.10934010504057824,0.3174,0.3867091412742382,False,not_significant
24007,1.1146954269836382,0.0542,0.13265434782608693,False,not_significant
24008,0.009915498964615589,0.4469,0.4773457420924574,False,not_significant
25001,1.0826022028750883,0.0033,0.024977586206896555,True,low-low
25002,0.877244186572764,0.0721,0.15623235294117646,False,not_significant
25003,-0.3962629828839732,0.0461,0.12318606060606062,False,not_significant
25004,-0.13675087223199106,0.2364,0.3222968944099379,False,not_significant
25005,0.9611673176484412,0.0026,0.02195,True,low-low
25006,0.09427794771355986,0.2781,0.35907617647058826,False,not_significant
25007,-0.12975569423255862,0.2879,0.3674072674418605,False,not_significant
25008,0.07803373519691348,0.416,0.4611717171717172,False,not_significant
25009,0.09647656327109845,0.3385,0.40271409214092146,False,not_significant
25010,-0.0902771591778371,0.2349,0.3212495327102804,False,not_significant
25011,-0.44737879908040773,0.0587,0.1368100529100529,False,not_significant
25012,1.250268146369064,0.0249,0.08194666666666667,True,low-low
25013,-0.2097261065438795,0.2531,0.33266736526946106,False,not_significant
25014,0.7692440549164152,0.0262,0.08334637681159421,True,low-low
25015,0.8576950949199998,0.008,0.03990909090909091,True,low-low
25016,0.30815761065511693,0.0725,0.15623235294117646,False,not_significant
26001,1.392292148354545,0.0589,0.1368100529100529,False,not_significant
26002,1.4153359275896191,0.0025,0.021519607843137254,True,low-low
26003,1.1101023185187102,0.001,0.012542857142857142,True,low-low
26004,1.6890535869214842,0.0006,0.009082758620689654,True,low-low
26005,1.443991808286973,0.0062,0.036290666666666666,True,low-low
26006,0.6971336330410562,0.0077,0.03990909090909091,True,low-low
26007,0.3910852831562968,0.1549,0.25660792452830194,False,not_significant
26008,2.2383541812245205,0.0003,0.007981818181818182,True,low-low
26009,0.05956749306435059,0.1619,0.2632374074074074,False,not_significant
26010,1.7103889824463088,0.0141,0.060096116504854365,True,low-low
26011,-0.09906275244648491,0.3939,0.45031796875,False,not_significant
26012,0.32406273109849526,0.226,0.315193690851735,False,not_significant
27001,2.803482279887805,0.0001,0.0054875,True,low-low
27002,2.6280950185059995,0.0018,0.018376744186046512,True,low-low
27003,3.307879632495505,0.0004,0.007981818181818182,True,low-low
27004,2.728461508293985,0.0002,0.007316666666666667,True,low-low
27005,3.001352358689379,0.0022,0.020120833333333334,True,low-low
27006,2.1230307199929865,0.0046,0.03205396825396826,True,low-low
27007,0.9606415656103174,0.0184,0.0708561403508772,True,low-low
27008,0.8170186672443887,0.0014,0.01575897435897436,True,low-low
27009,0.13230539396631666,0.0196,0.07232704918032787,True,low-low
27010,0.4815335246016001,0.1005,0.18774255319148936,False,not_significant
28001,0.9457363889019693,0.0951,0.18230960698689955,False,not_significant
28002,1.6161944029709123,0.0363,0.10178089171974523,False,not_significant
28003,-0.1913496183017654,0.1344,0.23228976377952754,False,not_significant
28004,0.6342442704443291,0.0706,0.15623235294117646,False,not_significant
28005,-0.2458126439205955,0.0936,0.1810149779735683,False,not_significant
28006,0.1853435575693524,0.233,0.319646875,False,not_significant
28007,0.611681632371,0.0994,0.1872815450643777,False,not_significant
29001,0.650839364418075,0.0046,0.03205396825396826,True,low-low
29002,0.03156716799174516,0.0752,0.15795598086124402,False,not_significant
29003,0.04105062183152879,0.1764,0.27730427046263345,False,not_significant
29004,0.714628989957468,0.0943,0.1815688596491228,False,not_significant
29005,1.25209870002407,0.0138,0.059394117647058826,True,low-low
29006,1.3435625262515183,0.0093,0.04534725274725274,True,low-low
29007,0.06039585406908681,0.2082,0.3030844370860927,False,not_significant
29008,0.0041096233633564,0.4692,0.4857990566037736,False,not_significant
29009,0.7061963813567917,0.0357,0.10167806451612904,False,not_significant
29010,-0.028190526287091688,0.3158,0.3867091412742382,False,not_significant
29011,0.5062225848858024,0.1178,0.21107836734693877,False,not_significant
29012,0.8629889780434157,0.0825,0.16767361111111112,False,not_significant
29013,1.0515040762476042,0.0119,0.05385670103092784,True,low-low
29014,0.3243822671116407,0.0348,0.1004248366013072,False,not_significant
29015,0.5299217170265047,0.0201,0.07232704918032787,True,low-low
29016,-0.01068725986955378,0.4429,0.4773457420924574,False,not_significant
29017,0.06094454715430828,0.2734,0.35509644970414195,False,not_significant
29018,0.8330149922869191,0.008,0.03990909090909091,True,low-low
29019,0.01302495686890379,0.1633,0.2640455882352941,False,not_significant
29020,1.1944362598913827,0.0118,0.05385670103092784,True,low-low
29021,-0.26540899446824634,0.14,0.23914396887159536,False,not_significant
29022,1.0248262400351142,0.0094,0.04534725274725274,True,low-low
29023,-0.13646405001686082,0.3136,0.3867091412742382,False,not_significant
29024,0.45599942966502877,0.2242,0.315193690851735,False,not_significant
29025,0.45525709758690863,0.0539,0.13265434782608693,False,not_significant
29026,1.7363929549635104,0.0004,0.007981818181818182,True,low-low
29027,0.27730049805657964,0.041,0.11249375000000002,False,not_significant
29028,0.4319612497958665,0.0094,0.04534725274725274,True,low-low
31001,0.2340539213559644,0.1494,0.25033053435114505,False,not_significant
31002,0.24500550507375077,0.2815,0.36240029325513196,False,not_significant
31003,-0.4218745038544994,0.2276,0.315193690851735,False,not_significant
31004,0.4826222783161764,0.1493,0.25033053435114505,False,not_significant
31006,0.10753438447779143,0.318,0.3867091412742382,False,not_significant
31007,0.08417247559346844,0.1775,0.27730427046263345,False,not_significant
31008,0.07215254944251649,0.2198,0.31126516129032256,False,not_significant
31009,-0.03397255705184259,0.2294,0.3166874213836478,False,not_significant
31010,0.37882616111350603,0.1774,0.27730427046263345,False,not_significant
31011,-0.11765412295596413,0.0236,0.08031317829457364,True,low-high
31012,0.23837107841858002,0.2156,0.31016928104575164,False,not_significant
31013,0.0008727058122702625,0.4879,0.49466073903002306,False,not_significant
31015,-0.011800533383163428,0.4798,0.4898423255813954,False,not_significant
31016,1.066221484370908,0.0053,0.033865714285714284,True,low-low
31017,0.6247176754417871,0.0229,0.07853984375,True,low-low
31018,1.4950940549723017,0.0747,0.15787115384615386,False,not_significant
31019,0.12246829662142124,0.3149,0.3867091412742382,False,not_significant
31020,0.8502655658657435,0.0199,0.07232704918032787,True,low-low
31021,0.43989339556865836,0.0067,0.037231645569620254,True,low-low
31022,1.1465970815236401,0.0495,0.12707894736842104,False,not_significant
31023,0.07925481381717128,0.4429,0.4773457420924574,False,not_significant
31024,-0.0029310143987711667,0.4751,0.48833621495327106,False,not_significant
31025,0.654955069355036,0.0838,0.16798264840182647,False,not_significant
31026,0.317699504616258,0.0865,0.17028475336322868,False,not_significant
31027,-0.37948069047270877,0.0009,0.011972727272727274,True,high-low
31028,-0.16449262906683826,0.0191,0.07228362068965517,True,low-high
31030,0.6970821297145916,0.0359,0.10167806451612904,False,not_significant
31031,-0.08132660322516266,0.3051,0.38377908309455583,False,not_significant
31032,-0.007320086069262177,0.4792,0.4898423255813954,False,not_significant
31034,0.5129828621047547,0.1072,0.1977344537815126,False,not_significant
31035,-0.15064392305318158,0.0583,0.1368100529100529,False,not_significant
31036,0.562369762945051,0.0001,0.0054875,True,low-low
31037,0.5567841796776762,0.112,0.20401659751037343,False,not_significant
31038,0.6065802057122817,0.022,0.07665079365079365,True,low-low
31040,0.8711753842726634,0.0777,0.15939392523364487,False,not_significant
31041,2.5028776985759267,0.0012,0.013863157894736841,True,low-low
31042,1.7291122470833387,0.0183,0.0708561403508772,True,low-low
31044,1.9195781620605656,0.0054,0.033865714285714284,True,low-low
31045,1.9588009669452104,0.0016,0.01756,True,low-low
31046,-0.14164174974453758,0.2381,0.3233248466257669,False,not_significant
31047,-0.6143862221825022,0.0041,0.029998333333333335,True,high-low
31048,0.44206008286477255,0.0874,0.17128839285714287,False,not_significant
31050,0.027152325653104284,0.3601,0.41932068965517244,False,not_significant
31051,0.909872969256875,0.029,0.08902797202797202,True,low-low
31052,0.03737431058750524,0.4117,0.4587215736040609,False,not_significant
31053,0.11017201362991719,0.4048,0.4556594871794872,False,not_significant
31055,0.17889404876159887,0.0799,0.16314465116279067,False,not_significant
31057,1.1243572736491585,0.0153,0.06277289719626168,True,high-high
31058,0.34961446259852014,0.0424,0.11489876543209877,False,not_significant
31059,1.234101803334448,0.024,0.08042748091603052,True,low-low
31060,-0.1192839846820156,0.0022,0.020120833333333334,True,high-low
31061,0.3246305980338311,0.0151,0.0625367924528302,True,low-low
31062,3.528140734965251,0.0011,0.013051351351351353,True,low-low
31064,2.637452659791836,0.0056,0.03462535211267606,True,low-low
31065,3.3054584060041465,0.0006,0.009082758620689654,True,low-low
31066,2.541484288015078,0.0043,0.030945901639344263,True,low-low
31067,3.21323007529481,0.0003,0.007981818181818182,True,low-low
31068,1.2135666098615756,0.0025,0.021519607843137254,True,low-low
31070,0.35023250251609495,0.055,0.13265434782608693,False,not_significant
31071,0.05752021424088732,0.4004,0.45556175710594315,False,not_significant
31072,0.07006656969611438,0.3453,0.4074911290322581,False,not_significant
31073,0.32682832669521955,0.3172,0.3867091412742382,False,not_significant
31074,0.21978350889260395,0.1911,0.29241864406779666,False,not_significant
31075,-0.16132286222430348,0.0986,0.186575,False,not_significant
31076,-0.0737542838906466,0.4466,0.4773457420924574,False,not_significant
31077,1.5570774531511073,0.0623,0.14244635416666668,False,not_significant
31078,0.46371542617595496,0.1271,0.22318759999999999,False,not_significant
31079,0.22337011692595857,0.1145,0.20685390946502058,False,not_significant
31082,1.1426677768176619,0.072,0.15623235294117646,False,not_significant
31083,0.10830294334208176,0.2271,0.315193690851735,False,not_significant
31084,0.39342003727296504,0.1986,0.2945452702702703,False,not_significant
31085,0.8193146639992718,0.07,0.15623235294117646,False,not_significant
31086,0.2092631467532239,0.0852,0.16924343891402716,False,not_significant
31087,0.4848838635004134,0.2417,0.32349481707317074,False,not_significant
31088,0.0075776407114198285,0.159,0.26142696629213485,False,not_significant
31089,0.3584674599746197,0.1437,0.24356872586872585,False,not_significant
