origin_region,destination_region,admissions
21005,21016,10.0
21015,21015,
21015,21016,44.0
21001,21001,5.0
21001,21016,142.0
21001,51007,
21008,21016,
21008,31007,
21013,21016,52.0
21018,21016,7.0
21018,21018,
21018,21016,43.0
21008,21008,19.0
21019,21016,45.0
21009,21016,48.0
21012,21016,23.0
21008,21016,23.0
21019,15006,
21019,21016,42.0
21005,15003,
21005,21016,91.0
21005,22004,8.0
21011,21016,7.0
21011,21016,28.0
21019,21019,
21019,21016,24.0
21019,31075,
21019,21019,
21019,21016,58.0
21006,21016,150.0
21006,52001,
21007,15006,
21007,21007,238.0
21007,21016,112.0
21007,22004,
21007,31072,
21005,21005,7.0
21005,21016,88.0
21005,22004,26.0
21005,51014,
21015,21016,23.0
21002,21016,70.0
21007,21007,
21007,21016,68.0
21007,52015,
21011,21016,52.0
21008,21016,
21012,21016,22.0
21005,17006,
21005,21016,
21010,15006,
21010,21010,8.0
21010,21016,37.0
21008,21016,10.0
21003,21003,
21003,21016,
21004,21004,6.0
21004,21016,
21003,21003,
21003,21016,12.0
21003,21016,19.0
21012,21012,6.0
21012,21016,30.0
21019,21016,36.0
21012,21012,13.0
21012,21016,24.0
21012,21012,
21012,21016,28.0
21008,21016,
21008,31007,
21012,21016,32.0
21012,21016,14.0
21014,21008,
21014,21014,
21014,21016,26.0
21019,21019,36.0
21019,21019,
21019,21016,34.0
21004,21004,15.0
21004,21016,44.0
21004,52001,
21011,21016,22.0
21011,33005,
21013,21013,
21013,21016,50.0
21013,21016,15.0
21014,21016,28.0
21010,21010,7.0
21010,21016,5.0
21008,15003,
21008,15003,
21008,21008,14.0
21008,21016,16.0
21004,21004,11.0
21004,21016,18.0
21009,21009,
21009,21016,242.0
21001,21001,
21001,21016,9.0
21015,21016,11.0
21015,22004,
21004,21004,
21004,21016,11.0
21008,51013,
21012,21012,
21012,21016,13.0
21019,21016,21.0
21010,21010,5.0
21010,21016,74.0
21010,21016,9.0
21002,21002,
21002,21016,32.0
21015,21016,10.0
21010,21016,25.0
21010,17005,
21010,21010,
21010,21016,21.0
21008,21008,
21008,21016,36.0
21010,21010,
21010,21016,25.0
21003,21003,
21003,21016,
21019,21016,17.0
21006,21016,
21006,22005,
21019,21019,
21019,21016,87.0
21002,21016,
21019,21019,
21019,21016,55.0
21006,21006,
21006,21016,9.0
21018,21016,60.0
21017,15006,
21017,21016,
21017,22004,5.0
21009,21016,21.0
21006,21006,
21015,21003,
21015,21016,15.0
21009,21016,50.0
21011,21016,43.0
21014,21014,9.0
21014,21016,139.0
21008,21016,6.0
21013,21013,
21013,21016,44.0
21009,21009,
21009,21016,34.0
21015,21016,21.0
21019,15006,
21019,21016,38.0
21002,21016,27.0
21018,21016,14.0
21016,21016,833.0
21018,21018,
21018,21018,
21018,21016,30.0
21015,21015,9.0
21015,21016,71.0
21017,21017,
21017,21016,
21017,22004,16.0
21015,21016,11.0
21015,21016,37.0
21006,21016,6.0
21002,21016,14.0
21010,21010,16.0
21010,21016,122.0
21011,21016,54.0
21018,21016,40.0
21011,21011,
21011,21016,15.0
21007,21016,57.0
21007,51014,
21014,21014,
21014,21016,77.0
21011,21011,
21011,21011,
21011,21016,66.0
21011,41017,
21014,21014,19.0
21014,21016,108.0
21009,21016,77.0
21009,51013,
21010,21010,
21010,21016,18.0
21010,31088,
21010,52001,
21008,17005,
21008,21008,96.0
21008,21016,
21011,21011,
21011,21016,15.0
21012,21016,79.0
21012,22004,
21013,21016,9.0
21013,31019,
21019,21019,7.0
21019,21016,8.0
21019,22004,
21011,21011,
21011,21016,16.0
21009,21009,
21009,21016,20.0
21009,42015,
21013,21016,11.0
21016,21016,
21016,21016,180.0
21016,50015,
21003,21003,
21003,21016,9.0
21003,52001,
21008,21008,
21008,21008,5.0
21008,31007,
21013,21016,266.0
21013,42009,
21012,21016,5.0
21011,21011,38.0
21011,21016,75.0
21011,52014,
21014,21014,13.0
21014,21016,161.0
21014,22004,
21014,25001,
21014,15003,
21014,21014,5.0
21014,21016,142.0
21019,21019,
21019,21016,29.0
21006,21016,30.0
21006,22004,
21013,21016,89.0
21006,21016,
21013,21013,
21013,21016,15.0
21012,21016,32.0
21009,21009,
21009,21016,36.0
21009,51007,
21018,21018,13.0
21018,21016,71.0
21018,31072,
21018,51014,
21006,21016,37.0
21015,21016,7.0
21012,21016,33.0
21003,21003,
21003,21016,33.0
21001,21001,
21017,21016,
21017,22004,
21018,21016,47.0
21018,21018,
21008,21008,20.0
21008,21016,
21005,21016,20.0
21015,21016,17.0
21015,22004,
21016,21016,1802.0
21012,21016,82.0
21016,15003,
21016,15003,
21016,21016,11462.0
21016,21007,
21016,22004,
21016,25001,
21016,26010,
21016,29020,
21016,31016,11.0
21016,35011,
21016,41009,
21016,42005,
21016,52011,
21002,15006,
21002,21016,83.0
21002,21002,
21007,21016,78.0
21007,21007,61.0
21007,22004,
21007,52001,
21001,15003,
21003,21016,10.0
21003,21003,
21010,21016,8.0
21010,21010,
21018,21016,28.0
21018,21018,26.0
21014,21016,
21012,21016,6.0
21012,51014,
21012,53001,
21008,15003,
21008,21016,
21011,21016,27.0
21011,21011,
21008,21008,
21008,21008,
21015,21016,
21015,21015,
21015,21016,5.0
21003,21016,
21007,21016,69.0
21007,21007,19.0
21017,21016,69.0
21017,21017,
21017,22004,382.0
21010,21010,
21010,21010,
21010,21016,32.0
21010,21010,
21012,21016,76.0
21012,21012,57.0
21012,26010,
21011,21016,53.0
21011,21011,
21011,21016,35.0
21006,21016,89.0
21006,21006,
21006,22005,
21009,21016,52.0
21009,21016,120.0
21009,21009,
21018,21011,
21018,21016,112.0
21018,21018,
21001,21016,
21001,21001,
21009,21016,87.0
21002,21016,69.0
21002,21002,
21002,22004,
21019,15003,
21019,21019,
21019,21016,126.0
21019,21019,5.0
22012,22012,10.0
22012,22004,46.0
22004,22004,15.0
22004,22004,
22004,22004,34.0
22009,22004,
22009,22004,
22004,22004,10.0
22004,22004,
22004,22004,163.0
22002,22004,
22004,22004,11.0
22004,22004,7.0
22007,22004,5.0
22010,22004,
22009,22004,
22001,22004,
22007,22004,5.0
22010,22004,
22003,22004,73.0
22002,22004,
22004,22004,47.0
22004,52001,
22003,22004,11.0
22012,22004,7.0
22004,22004,8.0
22011,22004,19.0
22012,22012,13.0
22001,22004,39.0
22002,22004,9.0
22002,52011,
22005,22005,10.0
22001,22004,
22003,22003,
22003,22004,5.0
22005,22005,12.0
22005,22004,6.0
22001,22004,
22001,22004,18.0
22005,22005,
22012,26007,
22008,22004,6.0
22006,22004,
22009,22004,5.0
22003,22004,7.0
22001,22004,54.0
22011,22011,
22011,22004,15.0
22003,22004,19.0
22006,22004,
22006,22006,
22005,22005,6.0
22012,22012,
22001,22004,19.0
22001,31016,
22005,22005,10.0
22005,22004,5.0
22005,22005,24.0
22005,22005,12.0
22005,22004,10.0
22001,22004,8.0
