health_region_code,band,person_years,deaths
15006,7,510843,34
15006,8,518682,30
15006,9,465984,13
15006,10,407629,19
15006,11,349070,12
15006,12,292467,14
15006,13,229288,7
15006,14,163883,8
15006,15,107522,1
15006,16,117050,9
15007,0,87884,0
15007,1,92544,0
15007,2,96753,1
15007,3,103493,7
15007,4,100541,8
15007,5,99066,13
15007,6,94280,4
15007,7,89740,3
15007,8,81952,4
15007,9,67844,2
15007,10,56101,0
15007,11,45278,3
15007,12,36187,2
15007,13,29196,2
15007,14,21579,1
15007,15,15016,0
15007,16,16513,0
15008,0,197290,0
15008,1,209727,0
15008,2,222511,2
15008,3,244736,14
15008,4,236763,14
15008,5,225609,19
15008,6,216779,19
15008,7,212987,19
15008,8,197536,10
15008,9,167051,9
15008,10,138172,12
15008,11,113817,6
15008,12,92095,7
15008,13,72298,5
15008,14,51963,8
15008,15,35343,2
15008,16,37889,2
15009,0,119699,0
15009,1,129121,0
15009,2,141363,4
15009,3,153621,7
15009,4,139733,12
15009,5,129953,6
15009,6,125454,14
15009,7,125586,8
15009,8,116635,8
15009,9,98800,3
15009,10,81188,8
15009,11,68619,4
15009,12,57345,0
15009,13,46170,0
15009,14,33278,1
15009,15,23073,0
15009,16,25383,0
15010,0,73416,0
15010,1,74325,0
15010,2,69977,3
15010,3,72707,13
15010,4,74368,14
15010,5,71163,12
15010,6,64423,7
15010,7,59969,8
15010,8,53000,4
15010,9,42701,5
15010,10,35568,2
15010,11,30306,3
15010,12,24754,3
15010,13,18650,1
15010,14,12467,1
15010,15,7624,0
15010,16,7035,0
15011,0,203529,0
15011,1,212169,1
15011,2,220976,7
15011,3,242185,12
15011,4,240997,22
15011,5,228293,25
15011,6,209354,13
15011,7,195929,8
15011,8,174328,8
15011,9,143058,8
15011,10,114023,7
15011,11,89459,3
15011,12,69934,5
15011,13,55012,3
15011,14,39212,3
15011,15,26579,1
15011,16,29856,1
15012,0,103448,0
15012,1,107477,0
15012,2,106316,3
15012,3,110605,10
15012,4,107330,14
15012,5,101768,12
15012,6,95732,6
15012,7,92745,5
15012,8,85236,4
15012,9,69780,4
15012,10,55819,6
15012,11,46042,3
15012,12,35699,2
15012,13,26269,1
15012,14,17915,0
15012,15,11526,2
15012,16,11930,2
15013,0,65076,0
15013,1,67313,0
15013,2,69494,0
15013,3,73467,4
15013,4,69519,5
15013,5,64339,4
15013,6,58432,1
15013,7,54272,1
15013,8,48057,6
15013,9,39949,2
15013,10,32660,1
15013,11,26262,0
15013,12,21524,1
15013,13,17071,1
15013,14,11788,1
15013,15,8020,1
15013,16,9092,1
15014,0,117911,0
15014,1,113095,0
15014,2,112306,3
15014,3,118139,16
15014,4,108197,13
15014,5,90719,9
15014,6,74038,7
15014,7,65443,3
15014,8,56218,1
15014,9,44782,4
15014,10,33960,5
15014,11,25557,1
15014,12,20931,0
15014,13,16440,0
15014,14,11953,0
15014,15,8282,0
15014,16,9454,0
16001,0,140908,0
16001,1,147855,0
16001,2,141773,7
16001,3,143001,23
16001,4,149541,27
16001,5,145573,26
16001,6,132726,17
16001,7,127128,16
16001,8,116583,16
16001,9,98129,4
16001,10,79767,4
16001,11,62120,5
16001,12,47273,4
16001,13,34644,5
16001,14,22747,1
16001,15,14469,1
16001,16,15273,1
16002,0,22310,0
16002,1,22161,0
16002,2,20998,1
16002,3,19790,1
16002,4,18230,5
16002,5,16341,5
16002,6,15046,4
16002,7,14009,2
16002,8,12426,0
16002,9,10577,0
16002,10,8775,1
16002,11,7286,2
16002,12,5465,0
16002,13,3750,1
16002,14,2476,0
16002,15,1458,1
16002,16,1299,0
16003,0,52833,0
16003,1,54938,0
16003,2,53027,3
16003,3,54835,4
16003,4,55245,6
16003,5,50303,5
16003,6,45060,5
16003,7,42065,4
16003,8,38641,0
16003,9,32899,6
16003,10,26579,2
16003,11,20935,1
16003,12,16350,0
16003,13,12255,1
16003,14,8128,1
16003,15,5444,0
16003,16,5974,1
