release_id,method_version,geography_version,health_region_code,health_region_name,uf,municipality_count,population,area_km2,population_density,suicide_asmr,suicide_percentile,psychiatric_admission_rate,psychiatric_admission_percentile,caps_count,caps_rate,caps_percentile,mental_health_beds_sus_count,mental_health_beds_sus_rate,beds_percentile,psychiatrist_fte,psychiatrist_fte_rate,psychiatrist_fte_percentile,need_score,capacity_score,mismatch_score,lisa_local_i,lisa_p,lisa_q,lisa_significant,lisa_cluster,data_quality_flags
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,14002,Sul,RR,6,99180,113749.22596039952,0.8719180210907842,6.4325380649079493,0.23287671232876711,13.029584013386184,0.054794520547945202,2,2.0165355918531964,0.49315068493150682,0,0,0.31278538812785389,1.25,1.2603347449082476,0.1004566210045662,0.14383561643835616,0.30213089802130899,-0.15829528158295283,-0.045368657835995432,0.43180000000000002,0.46196472019464724,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15001,Araguaia,PA,15,476448,174379.9222392088,2.7322411541531935,9.9821561574681947,0.63698630136986301,59.705365182704696,0.33333333333333331,11,2.3087514272281551,0.60273972602739723,0,0,0.31278538812785389,5.9499999999999993,1.2488246356370474,0.098173515981735099,0.48515981735159819,0.33789954337899542,0.14726027397260277,0.15129144067783315,0.24679999999999999,0.34615079872204468,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15002,Baixo Amazonas,PA,14,858787,323268.79868575867,2.6565724978450671,8.2625885796813776,0.43378995433789952,7.413069987617428,0.018264840182648401,10,1.1644330899280031,0.1529680365296803,0,0,0.31278538812785389,5.4000000000000004,0.62879386856112174,0.038812785388127803,0.22602739726027396,0.1681887366818873,0.057838660578386658,-0.015379430954056392,0.44280000000000003,0.46616115107913675,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15003,Carajás,PA,17,1023333,68534.957954938422,14.931547790148777,6.8816978782776648,0.28082191780821919,53.449110968653926,0.28995433789954339,11,1.0749189169116993,0.12328767123287671,6,0.58631940922456327,0.66894977168949776,12.349999999999996,1.2068407839872255,0.091324200913242004,0.28538812785388129,0.29452054794520549,-0.0091324200913242004,0.015714487581830257,0.15029999999999999,0.25628108108108111,False,not_significant,
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15004,Lago de Tucuruí,PA,5,272793,30542.412861042612,8.9316126149271042,6.8369463841990896,0.26712328767123289,11.799253757400118,0.047945205479451997,5,1.8328916064561771,0.4223744292237443,0,0,0.31278538812785389,2.7999999999999998,1.0264192996154593,0.079908675799086698,0.15753424657534243,0.27168949771689499,-0.11415525114155256,0.086882505756414222,0.33829999999999999,0.40688684931506847,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15006,Metropolitana I,PA,5,2115846,1828.0133078337924,1157.4565627792344,4.0126649514524813,0.038812785388127852,88.609368559680703,0.52283105022831056,15,0.70893628364257133,0.036529680365296802,0,0,0.31278538812785389,38.174999999999983,1.8042428418703431,0.1803652968036529,0.28082191780821919,0.17656012176560121,0.10426179604261798,-0.19792723872462076,0.21179999999999999,0.32062137931034479,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15007,Metropolitana II,PA,9,380457,13759.219771492615,27.651059167487052,4.2288265757377363,0.043378995433789952,41.44741425455944,0.20091324200913241,8,2.1027343431715018,0.52511415525114158,0,0,0.31278538812785389,3.5,0.91994627513753202,0.070776255707762498,0.12214611872146118,0.30289193302891931,-0.18074581430745812,0.1113866317177109,0.37740000000000001,0.42636041131105401,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15008,Metropolitana III,PA,22,892465,49966.305772575171,17.861336478668473,5.3791802035277332,0.12785388127853881,41.233780568936375,0.1986301369863013,16,1.792787392222664,0.408675799086758,0,0,0.31278538812785389,7.5500000000000007,0.8459715507050698,0.059360730593607303,0.16324200913242004,0.26027397260273971,-0.097031963470319671,0.1069503599333376,0.23880000000000001,0.34147622149837137,False,not_significant,ZERO_REGISTERED_BEDS
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15009,Rio Caetés,PA,16,539914,17366.215430032302,31.089905695071511,4.5006645470865276,0.061643835616438353,105.57138266313564,0.6004566210045662,11,2.0373615057212815,0.50456621004566216,23,4.2599376937808611,0.8904109589041096,9.1750000000000007,1.6993447104538872,0.15068493150684931,0.33105022831050229,0.515220700152207,-0.18417047184170471,-0.16979409286485472,0.37240000000000001,0.42353264248704664,False,not_significant,
MDB_ANALYTICAL_2024_2,MDB_METHOD_1.1,BR_HEALTH_REGIONS_END2024_V1,15010,Tapajós,PA,6,268410,189783.49365043579,1.4142958106482495,9.2890142278904637,0.56621004566210043,7.5714269489799397,0.020547945205479399,3,1.1176930814798256,0.1347031963470319,0,0,0.31278538812785389,1.625,0.60541708580157216,0.036529680365296802,0.29337899543378992,0.16133942161339421,0.13203957382039572,0.24461621871758649,0.14069999999999999,0.24608486055776893,False,not_significant,ZERO_REGISTERED_BEDS
