origin_region,destination_region,admissions,flow_version,contribution_id
15009,15009,43,MDB_HOSPITAL_FLOW_METHOD_1.0,513
15010,15010,30,MDB_HOSPITAL_FLOW_METHOD_1.0,514
15004,15006,27,MDB_HOSPITAL_FLOW_METHOD_1.0,516
15002,15006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,522
15011,15006,8,MDB_HOSPITAL_FLOW_METHOD_1.0,524
15009,15009,27,MDB_HOSPITAL_FLOW_METHOD_1.0,528
15001,15006,18,MDB_HOSPITAL_FLOW_METHOD_1.0,530
15012,15006,23,MDB_HOSPITAL_FLOW_METHOD_1.0,535
15012,15012,90,MDB_HOSPITAL_FLOW_METHOD_1.0,536
15003,15003,7,MDB_HOSPITAL_FLOW_METHOD_1.0,538
15008,15006,132,MDB_HOSPITAL_FLOW_METHOD_1.0,540
15003,15003,6,MDB_HOSPITAL_FLOW_METHOD_1.0,545
15003,15003,1073,MDB_HOSPITAL_FLOW_METHOD_1.0,546
15009,15009,13,MDB_HOSPITAL_FLOW_METHOD_1.0,554
15013,15006,9,MDB_HOSPITAL_FLOW_METHOD_1.0,558
15014,15006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,559
15014,15014,26,MDB_HOSPITAL_FLOW_METHOD_1.0,560
15009,15009,22,MDB_HOSPITAL_FLOW_METHOD_1.0,565
15009,15009,34,MDB_HOSPITAL_FLOW_METHOD_1.0,567
15001,15001,85,MDB_HOSPITAL_FLOW_METHOD_1.0,571
15001,52001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,576
15001,15001,22,MDB_HOSPITAL_FLOW_METHOD_1.0,577
15003,15003,9,MDB_HOSPITAL_FLOW_METHOD_1.0,582
15010,15010,11,MDB_HOSPITAL_FLOW_METHOD_1.0,585
15009,15009,75,MDB_HOSPITAL_FLOW_METHOD_1.0,587
15013,15006,10,MDB_HOSPITAL_FLOW_METHOD_1.0,589
15006,15006,40,MDB_HOSPITAL_FLOW_METHOD_1.0,590
15013,15006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,593
15007,15006,163,MDB_HOSPITAL_FLOW_METHOD_1.0,595
15007,15007,16,MDB_HOSPITAL_FLOW_METHOD_1.0,596
15009,15009,56,MDB_HOSPITAL_FLOW_METHOD_1.0,599
15008,15006,23,MDB_HOSPITAL_FLOW_METHOD_1.0,602
15008,15008,8,MDB_HOSPITAL_FLOW_METHOD_1.0,604
15001,15001,61,MDB_HOSPITAL_FLOW_METHOD_1.0,607
15002,15006,25,MDB_HOSPITAL_FLOW_METHOD_1.0,609
15002,15002,25,MDB_HOSPITAL_FLOW_METHOD_1.0,610
15002,16001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,611
15009,15009,10,MDB_HOSPITAL_FLOW_METHOD_1.0,613
15007,15006,24,MDB_HOSPITAL_FLOW_METHOD_1.0,614
15007,15006,25,MDB_HOSPITAL_FLOW_METHOD_1.0,615
15003,15003,5,MDB_HOSPITAL_FLOW_METHOD_1.0,616
15008,15006,22,MDB_HOSPITAL_FLOW_METHOD_1.0,618
15001,15006,6,MDB_HOSPITAL_FLOW_METHOD_1.0,619
15008,15006,18,MDB_HOSPITAL_FLOW_METHOD_1.0,623
15003,15003,6,MDB_HOSPITAL_FLOW_METHOD_1.0,624
15009,15009,38,MDB_HOSPITAL_FLOW_METHOD_1.0,628
15008,15006,50,MDB_HOSPITAL_FLOW_METHOD_1.0,631
15008,15008,7,MDB_HOSPITAL_FLOW_METHOD_1.0,632
15013,15006,6,MDB_HOSPITAL_FLOW_METHOD_1.0,634
15001,15001,17,MDB_HOSPITAL_FLOW_METHOD_1.0,636
15013,15006,13,MDB_HOSPITAL_FLOW_METHOD_1.0,640
15011,15006,61,MDB_HOSPITAL_FLOW_METHOD_1.0,642
15011,22004,5,MDB_HOSPITAL_FLOW_METHOD_1.0,643
15008,15006,23,MDB_HOSPITAL_FLOW_METHOD_1.0,644
15007,15006,47,MDB_HOSPITAL_FLOW_METHOD_1.0,646
15009,15009,75,MDB_HOSPITAL_FLOW_METHOD_1.0,649
15010,15010,6,MDB_HOSPITAL_FLOW_METHOD_1.0,650
15004,15006,13,MDB_HOSPITAL_FLOW_METHOD_1.0,655
15008,15006,54,MDB_HOSPITAL_FLOW_METHOD_1.0,658
15008,15008,37,MDB_HOSPITAL_FLOW_METHOD_1.0,660
15012,15012,8,MDB_HOSPITAL_FLOW_METHOD_1.0,662
15007,15006,67,MDB_HOSPITAL_FLOW_METHOD_1.0,664
15009,15009,93,MDB_HOSPITAL_FLOW_METHOD_1.0,665
15012,15012,9,MDB_HOSPITAL_FLOW_METHOD_1.0,667
15001,15006,15,MDB_HOSPITAL_FLOW_METHOD_1.0,668
15001,15001,506,MDB_HOSPITAL_FLOW_METHOD_1.0,669
16002,16002,18,MDB_HOSPITAL_FLOW_METHOD_1.0,671
16003,16001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,674
16001,16001,185,MDB_HOSPITAL_FLOW_METHOD_1.0,676
16002,16002,44,MDB_HOSPITAL_FLOW_METHOD_1.0,682
16001,16001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,683
16003,16001,26,MDB_HOSPITAL_FLOW_METHOD_1.0,684
17005,17005,8,MDB_HOSPITAL_FLOW_METHOD_1.0,691
17002,17001,13,MDB_HOSPITAL_FLOW_METHOD_1.0,695
17002,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,696
17006,17006,9,MDB_HOSPITAL_FLOW_METHOD_1.0,698
17007,17007,8,MDB_HOSPITAL_FLOW_METHOD_1.0,700
17005,17005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,703
17005,52001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,705
17001,15003,8,MDB_HOSPITAL_FLOW_METHOD_1.0,706
17001,17001,550,MDB_HOSPITAL_FLOW_METHOD_1.0,707
17001,17006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,709
17001,52001,7,MDB_HOSPITAL_FLOW_METHOD_1.0,712
17002,15003,5,MDB_HOSPITAL_FLOW_METHOD_1.0,715
17002,17001,15,MDB_HOSPITAL_FLOW_METHOD_1.0,716
17003,17008,5,MDB_HOSPITAL_FLOW_METHOD_1.0,719
17003,17006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,720
17001,17001,16,MDB_HOSPITAL_FLOW_METHOD_1.0,725
17004,17001,9,MDB_HOSPITAL_FLOW_METHOD_1.0,726
17002,17001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,733
17001,17001,8,MDB_HOSPITAL_FLOW_METHOD_1.0,739
17007,17007,5,MDB_HOSPITAL_FLOW_METHOD_1.0,744
17004,17001,17,MDB_HOSPITAL_FLOW_METHOD_1.0,747
17003,17006,6,MDB_HOSPITAL_FLOW_METHOD_1.0,754
17007,17007,6,MDB_HOSPITAL_FLOW_METHOD_1.0,756
17001,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,760
17003,17008,18,MDB_HOSPITAL_FLOW_METHOD_1.0,762
17003,17006,6,MDB_HOSPITAL_FLOW_METHOD_1.0,763
17007,17007,6,MDB_HOSPITAL_FLOW_METHOD_1.0,765
17005,17005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,775
17001,17001,10,MDB_HOSPITAL_FLOW_METHOD_1.0,776
17005,17005,6,MDB_HOSPITAL_FLOW_METHOD_1.0,779
17005,17005,12,MDB_HOSPITAL_FLOW_METHOD_1.0,780
17004,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,784
17004,17001,12,MDB_HOSPITAL_FLOW_METHOD_1.0,788
17004,17004,19,MDB_HOSPITAL_FLOW_METHOD_1.0,789
17004,17006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,791
17004,52001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,792
17005,17005,336,MDB_HOSPITAL_FLOW_METHOD_1.0,794
17005,17006,14,MDB_HOSPITAL_FLOW_METHOD_1.0,797
17005,52001,5,MDB_HOSPITAL_FLOW_METHOD_1.0,798
17004,17001,6,MDB_HOSPITAL_FLOW_METHOD_1.0,801
17005,17005,5,MDB_HOSPITAL_FLOW_METHOD_1.0,807
17007,17007,7,MDB_HOSPITAL_FLOW_METHOD_1.0,811
17007,51009,7,MDB_HOSPITAL_FLOW_METHOD_1.0,814
17006,17006,8,MDB_HOSPITAL_FLOW_METHOD_1.0,815
17006,17006,9,MDB_HOSPITAL_FLOW_METHOD_1.0,816
17007,17007,15,MDB_HOSPITAL_FLOW_METHOD_1.0,819
17006,17006,31,MDB_HOSPITAL_FLOW_METHOD_1.0,823
17006,17006,7,MDB_HOSPITAL_FLOW_METHOD_1.0,824
17008,17008,8,MDB_HOSPITAL_FLOW_METHOD_1.0,832
17008,17006,5,MDB_HOSPITAL_FLOW_METHOD_1.0,833
17001,17001,13,MDB_HOSPITAL_FLOW_METHOD_1.0,836
