release_id,geography_version,intelligence_version,radar_ruleset_version,decomposition_version,peer_method_version,health_region_code,health_region_name,uf,need_high,capacity_low,mismatch_marked_positive,capacity_component_low,spatial_hh_mismatch,zero_registered_beds,small_suicide_count,matched_signal_families,suicide_contribution,admissions_contribution,caps_contribution,beds_contribution,psychiatrist_contribution,decomposition_sum
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31086,Divinópolis,MG,False,False,False,True,False,False,False,1,0.019406392694063912,-0.11872146118721461,0.090563165905631654,-0.047184170471841716,0.050989345509893459,-0.004946727549467296
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31087,Lagoa da Prata/Santo Antônio do Monte,MG,False,False,False,False,False,True,False,0,0.13926940639269408,-0.20091324200913246,-0.025114155251141541,0.062404870624048703,0.072298325722983253,0.047945205479452038
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31088,Oliveira/Santo Antônio do Amparo,MG,False,False,False,False,False,True,False,0,0.1095890410958904,-0.11986301369863014,-0.15144596651445966,0.062404870624048703,-0.12404870624048706,-0.22336377473363775
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31089,Campo Belo,MG,False,False,False,False,False,True,False,0,0.19863013698630139,-0.090182648401826493,-0.10121765601217654,0.062404870624048703,-0.08599695585996954,-0.016362252663622484
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31090,Lima Duarte,MG,False,False,False,False,False,True,False,0,0.13356164383561642,-0.19292237442922375,-0.13622526636225266,0.062404870624048703,-0.14307458143074581,-0.27625570776255709
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31091,Cássia,MG,True,False,False,False,False,False,False,1,0.158675799086758,0.15753424657534248,-0.13546423135464231,-0.12633181126331811,-0.09512937595129374,-0.040715372907153671
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31092,Passos,MG,False,False,False,False,False,True,False,0,0.21689497716894979,-0.02625570776255709,-0.07990867579908674,0.062404870624048703,-0.067732115677321139,0.10540334855403354
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31093,Piumhi,MG,False,False,False,False,False,True,False,0,0.1449771689497717,-0.020547945205479451,-0.12404870624048706,0.062404870624048703,-0.16514459665144593,-0.10235920852359204
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31094,Almenara/Jacinto,MG,False,False,False,False,False,False,False,0,-0.1769406392694064,-0.049086757990867591,-0.15068493150684931,-0.12937595129375951,0.06012176560121766,-0.44596651445966512
MDB_ANALYTICAL_2024_2,BR_HEALTH_REGIONS_END2024_V1,MDB_TERRITORIAL_INTELLIGENCE_1.1,MDB_RADAR_RULESET_1.0,MDB_MISMATCH_DECOMPOSITION_1.0,MDB_PEER_METHOD_1.0,31095,Serro,MG,False,False,False,False,False,True,False,0,0.042237442922374413,0.05707762557077628,-0.11719939117199392,0.062404870624048703,-0.14687975646879753,-0.10235920852359205
