health_region_code,delta_need_score,delta_capacity_score,delta_mismatch_score,delta_suicide_percentile,delta_psychiatric_admission_percentile,delta_caps_percentile,delta_beds_percentile,delta_psychiatrist_fte_percentile,NEED_POSITION_UP,CAPACITY_POSITION_DOWN,MISMATCH_POSITION_UP,NEED_COMPONENT_POSITION_UP,CAPACITY_COMPONENT_POSITION_DOWN,matched_change_families,from_year,to_year,change_version
22008,0,-0.076484018264840192,0.076484018264840192,-0.006849315068493067,0.0068493150684931225,-0.034246575342465779,-0.003424657534246589,-0.19178082191780826,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
22009,-0.0057077625570776114,-0.031582952815829513,0.025875190258751901,0.031963470319634757,-0.043378995433789924,-0.031963470319634701,-0.003424657534246589,-0.059360730593607303,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
22010,-0.014840182648401701,-0.049847792998477858,0.035007610350076157,-0.066210045662100425,0.036529680365296802,-0.011415525114155223,-0.003424657534246589,-0.13470319634703198,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
22011,-0.013698630136986301,0.003424657534246589,-0.01712328767123289,0.0045662100456621557,-0.031963470319634701,-0.031963470319634646,-0.003424657534246589,0.045662100456621002,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
22012,0.0057077625570776114,-0.006849315068493067,0.012557077625570678,0.038812785388127824,-0.027397260273972601,-0.015981735159817378,-0.0022831050228310223,-0.0022831050228310501,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
23001,0.041095890410958957,0.020547945205479423,0.020547945205479534,0.082191780821917804,0,0.020547945205479479,-0.0068493150684931781,0.047945205479452024,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
23011,-0.044520547945205435,0.0076103500761034448,-0.05213089802130888,-0.091324200913242004,0.0022831050228310223,-0.022831050228310557,-0.0045662100456621557,0.050228310502283102,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
23023,0.025114155251141579,-0.028158295281582979,0.053272450532724558,-0.020547945205479423,0.070776255707762525,-0.011415525114155223,-0.0068493150684931781,-0.066210045662100536,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
23024,-0.0068493150684931781,0.027397260273972601,-0.034246575342465779,-0.057077625570776336,0.043378995433789869,0.036529680365296802,0,0.045662100456621002,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
23025,-0.0079908675799087447,-0.026255707762557035,0.01826484018264829,-0.075342465753424626,0.059360730593607303,-0.038812785388127824,-0.003424657534246589,-0.036529680365296802,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24001,-0.046803652968036513,0.082572298325722937,-0.12937595129375945,-0.079908675799086754,-0.013698630136986245,0.093607305936073054,-0.003424657534246589,0.15753424657534243,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24002,-0.034246575342465668,-0.0026636225266363223,-0.031582952815829346,-0.018264840182648401,-0.050228310502283047,-0.036529680365296857,-0.003424657534246589,0.031963470319634646,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24003,0.023972602739726012,0.041476407914764091,-0.017503805175038079,0.045662100456621002,0.0022831050228310223,0.05251141552511418,-0.003424657534246589,0.075342465753424626,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24004,-0.017123287671232945,0.098554033485540316,-0.11567732115677326,0.015981735159817378,-0.050228310502283102,0.21461187214611877,-0.003424657534246589,0.084474885844748826,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24005,0.037671232876712313,0.094748858447488538,-0.057077625570776225,0.075342465753424653,0,0.13470319634703198,-0.003424657534246589,0.15296803652968038,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24006,-0.11757990867579915,0.089421613394216226,-0.20700152207001538,-0.21461187214611865,-0.020547945205479479,0.1095890410958904,-0.003424657534246589,0.16210045662100458,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24007,0.0022831050228310223,-0.0045662100456621557,0.0068493150684931781,0.027397260273972601,-0.022831050228310446,-0.018264840182648401,-0.0068493150684931781,0.011415525114155223,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
24008,-0.02168949771689499,0.028538812785388112,-0.050228310502283102,0.034246575342465752,-0.077625570776255703,-0.0045662100456621002,-0.003424657534246589,0.093607305936073054,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25001,-0.014840182648401812,-0.01560121765601219,0.00076103500761037779,0.022831050228310501,-0.052511415525114125,-0.066210045662100481,-0.003424657534246589,0.022831050228310557,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25002,0.0011415525114155112,-0.014840182648401812,0.015981735159817323,0.022831050228310501,-0.020547945205479423,0.011415525114155334,-0.003424657534246589,-0.05251141552511418,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25003,0.073059360730593603,0.027016742770167523,0.04604261796042608,0.15068493150684936,-0.0045662100456621557,-0.027397260273972601,-0.003424657534246589,0.11187214611872148,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25004,0.15639269406392697,-0.016362252663622512,0.17275494672754949,0.34931506849315069,-0.036529680365296802,-0.013698630136986245,-0.003424657534246589,-0.031963470319634701,True,False,False,True,False,2,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25005,0.18264840182648401,0.024733637747336279,0.15791476407914773,0.28995433789954339,0.075342465753424626,-0.0045662100456621557,-0.003424657534246589,0.082191780821917804,True,False,False,True,False,2,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25006,-0.087899543378995415,0.039193302891933013,-0.12709284627092843,-0.14840182648401823,-0.027397260273972601,-0.031963470319634757,-0.003424657534246589,0.15296803652968038,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25007,0.035388127853881235,-0.017884322678843212,0.053272450532724447,-0.018264840182648401,0.089041095890410926,-0.0022831050228310223,-0.003424657534246589,-0.047945205479452135,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25008,0.06963470319634707,-0.093987823439878215,0.16362252663622529,0.14383561643835618,-0.0045662100456621002,-0.011415525114155223,-0.003424657534246589,-0.26712328767123283,False,False,False,False,True,1,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25009,0.022831050228310501,0.012557077625570678,0.010273972602739823,0.091324200913242004,-0.045662100456621002,-0.015981735159817378,-0.003424657534246589,0.057077625570776225,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25010,-0.075342465753424681,-0.0026636225266364333,-0.072678843226788248,-0.12100456621004563,-0.029680365296803651,-0.020547945205479423,-0.003424657534246589,0.015981735159817267,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25011,0.076484018264840248,-0.0064687975646879892,0.082952815829528237,0.093607305936073137,0.059360730593607303,0,-0.003424657534246589,-0.015981735159817267,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25012,0.031963470319634646,-0.0079908675799087447,0.039954337899543391,0.031963470319634701,0.031963470319634646,-0.19178082191780821,-0.003424657534246589,0.17123287671232867,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25013,-0.059360730593607358,-0.023972602739726012,-0.035388127853881346,-0.020547945205479479,-0.098173515981735182,-0.011415525114155223,-0.003424657534246589,-0.057077625570776225,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25014,-0.066210045662100425,-0.051369863013698724,-0.014840182648401701,-0.1095890410958904,-0.022831050228310557,-0.020547945205479534,-0.003424657534246589,-0.13013698630136994,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25015,-0.003424657534246589,-0.039193302891933124,0.035768645357686535,-0.015981735159817378,0.0091324200913242004,-0.018264840182648401,-0.003424657534246589,-0.095890410958904104,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
25016,0.034246575342465779,-0.037290715372907179,0.071537290715372959,0.068493150684931503,0,0.0022831050228310223,-0.0045662100456621557,-0.1095890410958904,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
26001,-0.082191780821917804,-0.026636225266362112,-0.055555555555555691,-0.17351598173515981,0.0091324200913242004,-0.020547945205479423,-0.0022831050228310223,-0.057077625570776225,False,False,False,False,False,0,2022,2023,MDB_CHANGE_RADAR_RULESET_1.0
