flow_version,health_region_code,total_admissions,within_region_share,outflow_share,cross_state_outflow_share,nonsuppressed_destinations,unit
MDB_HOSPITAL_FLOW_METHOD_1.0,21015,321,0.040498442367601244,0.95950155763239875,0.09657320872274143,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21016,14361,0.99818954111830649,0.0018104588816934754,0.0017408258477821879,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21017,486,,,0.83950617283950613,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21018,520,0.090384615384615383,0.9096153846153846,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,21019,742,0.080862533692722366,0.91913746630727766,0.0067385444743935314,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22001,222,0,1,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22002,61,0,1,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22003,416,0.057692307692307696,0.94230769230769229,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22004,3769,0.99469355266648973,0.0053064473335102148,0.0053064473335102148,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22005,2359,0.89953370072064431,0.10046629927935566,0.0038151759220008477,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22006,137,0.25547445255474455,0.74452554744525545,0.058394160583941604,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22007,77,0,1,0,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22008,181,0.027624309392265192,0.97237569060773477,0.19889502762430938,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22009,352,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22010,139,0,1,0,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22011,258,,,,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,22012,234,0.5641025641025641,0.4358974358974359,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,23001,23813,0.99521269894595388,0.0047873010540461095,0.0038214420694578592,9,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,23011,3577,0.78557450377411242,0.21442549622588761,0.0033547665641599105,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,23023,3043,0.67071968452185349,0.32928031547814657,0.0085441998028261586,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,23024,2496,0.58573717948717952,0.41426282051282054,0.005608974358974359,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,23025,1579,0.39835338822039268,0.60164661177960732,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24001,1264,0.020569620253164556,0.97943037974683544,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24002,1601,0.97439100562148662,0.025608994378513428,0.004996876951905059,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24003,1203,0.1230257689110557,0.87697423108894434,0,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24004,544,0.375,0.625,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24005,486,0.01646090534979424,0.98353909465020573,0.037037037037037035,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24006,424,0.08254716981132075,0.91745283018867929,0.028301886792452831,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24007,6289,0.9974558753378916,0.0025441246621084432,0.0023851168707266657,1,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,24008,193,0.025906735751295335,0.97409326424870468,0,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25001,3256,0.98617936117936122,0.01382063882063882,0.0092137592137592136,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25002,731,,,0.01094391244870041,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25003,1211,0,1,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25004,358,,,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25005,333,0.051051051051051052,0.94894894894894899,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25006,561,,,0.016042780748663103,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25007,372,0.57258064516129037,0.42741935483870969,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25008,133,,,0,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25009,142,0.14788732394366197,0.852112676056338,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25010,136,0.7279411764705882,0.27205882352941174,0.058823529411764705,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25011,160,0.11874999999999999,0.88124999999999998,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25012,559,0.026833631484794274,0.97316636851520577,,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25013,85,,,0,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25014,445,0.056179775280898875,0.9438202247191011,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25015,729,0,1,,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,25016,4612,0.97810060711188207,0.021899392888117954,0.0021682567215958368,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26001,730,0.38904109589041097,0.61095890410958908,0.020547945205479451,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26002,1086,0.59208103130755063,0.40791896869244937,0.0046040515653775326,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26003,896,0.17075892857142858,0.8292410714285714,0.027901785714285716,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26004,384,0.35416666666666669,0.64583333333333337,,4,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26005,493,0.36511156186612576,0.63488843813387419,0.018255578093306288,3,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26006,668,0.020958083832335328,0.97904191616766467,0.010479041916167664,2,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26007,1044,0.53927203065134099,0.46072796934865901,0.1503831417624521,5,AIHs/admissions; not unique patients
MDB_HOSPITAL_FLOW_METHOD_1.0,26008,605,0.019834710743801654,0.98016528925619839,0.018181818181818181,3,AIHs/admissions; not unique patients
