release_id,peer_method_version,health_region_code,peer_health_region_code,peer_rank,structural_distance
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,15002,4,1.3726590776085865
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,15011,5,1.5542600648372757
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,14001,6,1.6648352945392484
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,51014,7,1.6666640317933776
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,29016,8,1.6714308140374383
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,12002,9,1.6954735874784577
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13001,15008,10,1.7310402937174709
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,13009,1,0.260339324708179
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,12003,2,0.37451808644067403
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,15012,3,0.41059288933334415
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,15010,4,0.51153477943150583
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,15014,5,0.6480786794867136
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,51007,6,0.71488635107165088
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,13004,7,0.72604122416822614
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,15013,8,0.75317005757242805
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,52016,9,0.77118340086397208
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13002,29008,10,0.79444779970161039
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,13006,1,0.37854117668358728
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,13008,2,0.45843869460142395
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,15010,3,0.46460313269827774
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,13007,4,0.55022922791324391
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,13004,5,0.65548989127265678
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,13005,6,0.67036974978012143
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,51008,7,0.67912929590085225
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,16003,8,0.77540622120972535
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,51001,9,0.77861115832253902
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13003,12003,10,0.79857554414269327
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,50013,1,0.35325593012050688
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,12003,2,0.38063118116584699
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,11006,3,0.40780733018237764
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,13005,4,0.40934815330455382
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,50014,5,0.43027078499480242
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,15010,6,0.54502849046894108
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,13007,7,0.56237816227964221
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,13008,8,0.59080338703648416
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,51001,9,0.59881669879909427
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13004,51008,10,0.60170495433939231
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,13004,1,0.40934815330455382
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,50013,2,0.45346884690857708
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,16003,3,0.45616230109810013
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,15004,4,0.55647714905552104
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,15010,5,0.55926125741614274
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,12003,6,0.57402378374543817
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,21004,7,0.63950888892285174
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,13003,8,0.67036974978012143
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,15014,9,0.70665356430995097
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13005,11006,10,0.73789128521681013
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,13008,1,0.36485039909765488
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,13003,2,0.37854117668358728
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,13007,3,0.43608112286818962
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,14002,4,0.53082193512008624
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,51008,5,0.62562942036347546
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,51001,6,0.65099032106828336
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,15010,7,0.79030324193907486
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,51015,8,0.79133826942254815
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,13004,9,0.83688741277588596
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13006,16002,10,0.85932362102064075
MDB_ANALYTICAL_2024_2,MDB_PEER_METHOD_1.0,13007,13008,1,0.13512570542362687
